종목,코드,구분,패턴,점수,RSI,12/26선,이격ATR,3봉회복배수,동시간배수,기준봉(KST),_match,scan_time
한라캐스트,125490,관찰,수렴돌파,75.0288461538461,67.0,12≤26,2.84,6.31,3.05,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
하이젠알앤엠,160190,일치,수렴돌파,68.62073896704251,75.3,12≤26,4.57,8.13,13.24,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
지투지바이오,456160,관찰,수렴돌파,79.02591973244148,58.8,12≤26,1.51,10.06,23.57,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
심텍,222800,관찰,재반등,50.556069130002676,43.9,12≤26,-1.33,0.65,0.63,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
더즌,462860,일치,재반등,84.59171055015491,54.1,12≤26,0.45,3.32,3.3,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
올릭스,226950,일치,수렴돌파,73.6870072848368,62.1,12>26,1.55,2.24,3.28,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
대덕전자,353200,관찰,수렴돌파,37.624792877089824,36.9,12≤26,-2.37,0.94,0.81,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
피에스케이홀딩스,031980,관찰,수렴돌파,62.55884246871575,68.6,12>26,2.21,1.05,2.71,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
두산퓨얼셀,336260,관찰,수렴돌파,52.39966327164082,52.6,12≤26,-0.6,0.96,0.79,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
GS건설,006360,관찰,재반등,49.80050624725851,53.5,12>26,0.39,0.64,0.45,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
영풍,000670,관찰,수렴돌파,60.928034543419166,76.5,12>26,3.84,2.93,8.19,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
티엠씨,217590,일치,재반등,76.6233335286191,71.0,12>26,2.48,31.44,10.26,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
아로마티카,0015N0,관찰,수렴돌파,58.205963569195696,69.4,12>26,2.49,0.94,3.38,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
제주반도체,080220,관찰,재반등,41.2238289130992,36.0,12≤26,-2.53,0.61,0.54,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
티엘비,356860,관찰,재반등,73.88295694132498,56.9,12≤26,1.0,2.03,1.68,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
엘앤에프,066970,관찰,재반등,45.92788595382905,37.4,12≤26,-1.85,0.63,0.64,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
DL이앤씨,375500,관찰,수렴돌파,55.476219809232326,67.0,12>26,1.34,1.06,1.09,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
아모텍,052710,관찰,수렴돌파,53.487460997823156,75.5,12>26,3.1,1.68,4.29,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
씨피시스템,413630,관찰,수렴돌파,64.2163706237725,65.9,12>26,2.42,1.12,2.24,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
파인엠텍,441270,일치,수렴돌파,68.76136083205378,72.3,12>26,3.57,2.32,2.87,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
RF머트리얼즈,327260,관찰,재반등,68.00126097266926,51.2,12>26,-0.18,0.96,0.86,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
지니언스,263860,관찰,재반등,76.67789662840175,68.8,12>26,1.69,7.54,10.87,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
LG생활건강,051900,일치,수렴돌파,80.56923076923071,76.5,12>26,2.89,2.53,2.85,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
LG디스플레이,034220,관찰,재반등,61.592991074451234,37.2,12≤26,-1.2,1.33,2.13,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
드림시큐리티,203650,관찰,수렴돌파,51.15485348666291,60.0,12>26,1.29,0.7,4.8,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
한국콜마,161890,일치,재반등,60.94373510862501,54.9,12>26,1.22,1.33,0.81,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
액스비스,0011A0,관찰,재반등,53.39047708882858,61.0,12>26,1.16,0.5,7.11,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
아이씨티케이,456010,관찰,수렴돌파,62.19925991051061,62.5,12>26,1.46,1.67,8.8,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
우리로,046970,관찰,재반등,64.10792969450969,51.7,12>26,-0.05,0.84,1.32,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
두산테스나,131970,관찰,재반등,47.721681285846465,31.9,12≤26,-3.02,0.65,1.73,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
아톤,158430,관찰,재반등,76.15249180987936,64.2,12>26,1.13,10.5,36.37,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
한화엔진,082740,관찰,재반등,70.17372061927651,46.1,12>26,-0.48,1.7,1.05,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
실리콘투,257720,관찰,재반등,79.78288615690926,43.9,12>26,0.05,1.6,0.51,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
금호건설,002990,관찰,재반등,43.0939664773307,23.2,12≤26,-2.88,1.4,0.25,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
라온시큐어,042510,관찰,재반등,72.06148281121003,68.7,12>26,1.97,4.3,9.25,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
로보스타,090360,관찰,수렴돌파,76.99503128450507,64.0,12≤26,1.92,2.54,2.46,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
현대무벡스,319400,관찰,수렴돌파,74.39116417093288,56.8,12≤26,0.92,2.0,1.55,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
씨에스윈드,112610,관찰,재반등,62.47615801144502,53.6,12>26,0.15,1.09,1.69,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
에스비비테크,389500,일치,수렴돌파,80.84943492526429,69.5,12>26,2.55,2.77,4.92,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
고영,098460,관찰,재반등,53.82910799525648,49.8,12≤26,0.05,0.66,0.91,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
페니트리움바이오,187660,관찰,재반등,77.27081647268645,52.4,12>26,-0.01,1.72,1.08,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
피에스케이,319660,관찰,수렴돌파,40.19700214132762,42.6,12≤26,-1.85,0.51,1.03,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
인피니트헬스케어,071200,관찰,수렴돌파,80.0,89.3,12>26,6.28,6.69,24.53,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
티에스이,131290,관찰,수렴돌파,36.242811501597444,36.5,12≤26,-2.48,0.42,1.46,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
테스,095610,관찰,수렴돌파,40.52998605299861,38.4,12≤26,-2.4,0.39,0.77,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
에이럭스,475580,일치,수렴돌파,78.91406791406794,72.6,12>26,2.77,35.66,12.17,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
펩트론,087010,관찰,수렴돌파,59.28148364527932,47.4,12≤26,-0.13,1.2,1.53,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
디앤디파마텍,347850,관찰,재반등,45.873777639263764,39.8,12≤26,-1.44,1.22,0.83,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
두산로보틱스,454910,관찰,수렴돌파,56.8952595678168,50.4,12≤26,-0.37,0.99,1.05,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
아이티센글로벌,124500,관찰,재반등,80.19193970264922,41.9,12>26,-0.56,2.47,0.87,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
헥토파이낸셜,234340,관찰,재반등,64.4552855032957,40.5,12≤26,-1.09,1.71,0.74,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
파마리서치,214450,관찰,재반등,51.493837907179184,30.4,12≤26,-2.02,0.54,0.58,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
OCI홀딩스,010060,관찰,수렴돌파,35.164956189258305,26.6,12≤26,-3.98,1.09,0.37,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
SK이터닉스,475150,관찰,재반등,48.78783895960156,39.1,12≤26,-1.58,0.44,0.18,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
하나마이크론,067310,관찰,재반등,35.418685205230524,33.1,12≤26,-2.36,0.42,0.35,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
제이앤티씨,204270,관찰,재반등,59.018033099787885,56.4,12>26,0.45,1.02,1.44,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
서산,079650,관찰,수렴돌파,35.03125,38.5,12≤26,-2.6,0.6,0.51,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
한국화장품제조,003350,관찰,재반등,54.006464625779984,56.4,12>26,0.75,0.29,1.22,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
샘씨엔에스,252990,관찰,재반등,47.5958054037189,74.7,12>26,2.7,1.16,3.16,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
코스맥스,192820,일치,재반등,61.33080009128382,64.0,12>26,1.38,1.27,0.82,09-15 09:00,True,2026-09-15T10:37:33.079945+09:00
LS머트리얼즈,417200,관찰,재반등,61.622425899653464,52.3,12>26,0.14,0.92,0.6,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
HD현대에너지솔루션,322000,관찰,수렴돌파,33.03804347826087,33.2,12≤26,-3.92,0.65,0.51,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
금강철강,053260,관찰,재반등,61.166137869417504,56.9,12>26,0.65,0.27,1.85,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
에스피소프트,443670,관찰,수렴돌파,44.91775366945863,77.7,12>26,3.2,1.02,1.65,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
롯데쇼핑,023530,관찰,재반등,62.70804535470804,64.6,12>26,2.27,1.65,1.74,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
지엔씨에너지,119850,관찰,재반등,60.22866239930734,53.1,12>26,0.07,0.74,0.62,09-15 09:00,False,2026-09-15T10:37:33.079945+09:00
