code,name,market,price,market_cap,quote_time,amount,scan_time
462860,더즌,KOSDAQ,2590,185800000000.0,2026-09-16T10:48:20+09:00,7197.0,2026-09-16T10:48:31.622302+09:00
032940,원익,KOSDAQ,9780,177900000000.0,2026-09-16T10:48:19+09:00,7188.0,2026-09-16T10:48:31.622302+09:00
201490,미투온,KOSDAQ,3840,125700000000.0,2026-09-16T10:48:19+09:00,7098.0,2026-09-16T10:48:31.622302+09:00
160190,하이젠알앤엠,KOSDAQ,23650,730500000000.0,2026-09-16T10:48:20+09:00,6937.0,2026-09-16T10:48:31.622302+09:00
141080,리가켐바이오,KOSDAQ,80700,2987500000000.0,2026-09-16T10:48:23+09:00,6920.0,2026-09-16T10:48:31.622302+09:00
0015N0,아로마티카,KOSDAQ,12970,163100000000.0,2026-09-16T10:48:21+09:00,6486.0,2026-09-16T10:48:31.622302+09:00
347700,스피어,KOSDAQ,20050,1033600000000.0,2026-09-16T10:48:21+09:00,6343.0,2026-09-16T10:48:31.622302+09:00
192650,드림텍,KOSPI,6660,438800000000.0,2026-09-16T10:48:18+09:00,6289.0,2026-09-16T10:48:31.622302+09:00
347850,디앤디파마텍,KOSDAQ,45350,2078700000000.0,2026-09-16T10:48:21+09:00,6219.0,2026-09-16T10:48:31.622302+09:00
131290,티에스이,KOSDAQ,240000,2654700000000.0,2026-09-16T10:48:21+09:00,6189.0,2026-09-16T10:48:31.622302+09:00
087010,펩트론,KOSDAQ,142500,3322700000000.0,2026-09-16T10:48:17+09:00,6134.0,2026-09-16T10:48:31.622302+09:00
219130,타이거일렉,KOSDAQ,72400,457200000000.0,2026-09-16T10:48:19+09:00,6107.0,2026-09-16T10:48:31.622302+09:00
003350,한국화장품제조,KOSPI,14770,334700000000.0,2026-09-16T10:48:18+09:00,6045.0,2026-09-16T10:48:31.622302+09:00
131970,두산테스나,KOSDAQ,73000,1410900000000.0,2026-09-16T10:48:20+09:00,6011.0,2026-09-16T10:48:31.622302+09:00
067310,하나마이크론,KOSDAQ,33500,2227400000000.0,2026-09-16T10:48:19+09:00,5913.0,2026-09-16T10:48:31.622302+09:00
0220W0,한화머시너리앤서비스홀딩스,KOSPI,6730,568800000000.0,2026-09-16T10:48:22+09:00,5893.0,2026-09-16T10:48:31.622302+09:00
028300,HLB,KOSDAQ,31250,4162400000000.0,2026-09-16T10:48:21+09:00,5871.0,2026-09-16T10:48:31.622302+09:00
080580,오킨스전자,KOSDAQ,21050,444000000000.0,2026-09-16T10:48:20+09:00,5685.0,2026-09-16T10:48:31.622302+09:00
060250,NHN KCP,KOSDAQ,12980,521300000000.0,2026-09-16T10:48:21+09:00,5670.0,2026-09-16T10:48:31.622302+09:00
095610,테스,KOSDAQ,128200,2482000000000.0,2026-09-16T10:48:21+09:00,5633.0,2026-09-16T10:48:31.622302+09:00
187660,페니트리움바이오,KOSDAQ,7630,488100000000.0,2026-09-16T10:48:18+09:00,5624.0,2026-09-16T10:48:31.622302+09:00
417030,니어스랩,KOSDAQ,25950,149900000000.0,2026-09-16T10:48:21+09:00,5511.0,2026-09-16T10:48:31.622302+09:00
310210,보로노이,KOSDAQ,139900,2591400000000.0,2026-09-16T10:48:20+09:00,5415.0,2026-09-16T10:48:31.622302+09:00
204270,제이앤티씨,KOSDAQ,20750,1200400000000.0,2026-09-16T10:48:22+09:00,5056.0,2026-09-16T10:48:31.622302+09:00
454910,두산로보틱스,KOSPI,67800,4394800000000.0,2026-09-16T10:48:23+09:00,4959.0,2026-09-16T10:48:31.622302+09:00
100840,SNT에너지,KOSPI,38150,789000000000.0,2026-09-16T10:48:19+09:00,4918.0,2026-09-16T10:48:31.622302+09:00
319660,피에스케이,KOSDAQ,117400,3400700000000.0,2026-09-16T10:48:21+09:00,4869.0,2026-09-16T10:48:31.622302+09:00
124500,아이티센글로벌,KOSDAQ,28000,649700000000.0,2026-09-16T10:48:20+09:00,4800.0,2026-09-16T10:48:31.622302+09:00
356860,티엘비,KOSDAQ,37100,879300000000.0,2026-09-16T10:48:19+09:00,4790.0,2026-09-16T10:48:31.622302+09:00
098460,고영,KOSDAQ,26900,1834700000000.0,2026-09-16T10:48:20+09:00,4572.0,2026-09-16T10:48:31.622302+09:00
041510,에스엠,KOSDAQ,87400,2001000000000.0,2026-09-16T10:48:21+09:00,4536.0,2026-09-16T10:48:31.622302+09:00
052710,아모텍,KOSDAQ,15660,292500000000.0,2026-09-16T10:48:23+09:00,4408.0,2026-09-16T10:48:31.622302+09:00
190510,나무가,KOSDAQ,16760,236100000000.0,2026-09-16T10:48:20+09:00,4331.0,2026-09-16T10:48:31.622302+09:00
092220,KEC,KOSPI,3020,121300000000.0,2026-09-16T10:48:24+09:00,4314.0,2026-09-16T10:48:31.622302+09:00
452190,한빛레이저,KOSDAQ,5020,120100000000.0,2026-09-16T10:48:20+09:00,4281.0,2026-09-16T10:48:31.622302+09:00
488280,에스투더블유,KOSDAQ,14710,159200000000.0,2026-09-16T10:48:18+09:00,4267.0,2026-09-16T10:48:31.622302+09:00
317400,자이에스앤디,KOSPI,10320,400200000000.0,2026-09-16T10:48:20+09:00,4172.0,2026-09-16T10:48:31.622302+09:00
241710,코스메카코리아,KOSDAQ,132600,1416200000000.0,2026-09-16T10:48:20+09:00,4146.0,2026-09-16T10:48:31.622302+09:00
115500,케이씨에스,KOSDAQ,10460,125500000000.0,2026-09-16T10:48:19+09:00,4137.0,2026-09-16T10:48:31.622302+09:00
089970,브이엠,KOSDAQ,48100,1266300000000.0,2026-09-16T10:48:20+09:00,4133.0,2026-09-16T10:48:31.622302+09:00
105840,우진,KOSPI,14010,283000000000.0,2026-09-16T10:48:21+09:00,4123.0,2026-09-16T10:48:31.622302+09:00
491000,리브스메드,KOSDAQ,28450,718500000000.0,2026-09-16T10:48:21+09:00,4072.0,2026-09-16T10:48:31.622302+09:00
0039P0,매드업,KOSDAQ,7800,146700000000.0,2026-09-16T10:48:19+09:00,4060.0,2026-09-16T10:48:31.622302+09:00
048410,현대바이오,KOSDAQ,6680,644700000000.0,2026-09-16T10:48:20+09:00,4058.0,2026-09-16T10:48:31.622302+09:00
084370,유진테크,KOSDAQ,124700,2857600000000.0,2026-09-16T10:48:18+09:00,3989.0,2026-09-16T10:48:31.622302+09:00
441270,파인엠텍,KOSDAQ,8940,377300000000.0,2026-09-16T10:48:22+09:00,3965.0,2026-09-16T10:48:31.622302+09:00
064290,인텍플러스,KOSDAQ,46850,607100000000.0,2026-09-16T10:48:20+09:00,3945.0,2026-09-16T10:48:31.622302+09:00
095340,ISC,KOSDAQ,181300,3843000000000.0,2026-09-16T10:48:19+09:00,3940.0,2026-09-16T10:48:31.622302+09:00
089030,테크윙,KOSDAQ,43325,1605300000000.0,2026-09-16T10:48:22+09:00,3929.0,2026-09-16T10:48:31.622302+09:00
290550,디케이티,KOSDAQ,17240,344800000000.0,2026-09-16T10:48:19+09:00,3909.0,2026-09-16T10:48:31.622302+09:00
079650,서산,KOSDAQ,6290,125800000000.0,2026-09-16T10:48:19+09:00,3897.0,2026-09-16T10:48:31.622302+09:00
232140,와이씨,KOSDAQ,11450,939400000000.0,2026-09-16T10:48:24+09:00,3885.0,2026-09-16T10:48:31.622302+09:00
036570,NC,KOSPI,201500,4341100000000.0,2026-09-16T10:48:19+09:00,3884.0,2026-09-16T10:48:31.622302+09:00
446540,메가터치,KOSDAQ,9320,271000000000.0,2026-09-16T10:48:24+09:00,3875.0,2026-09-16T10:48:31.622302+09:00
033160,엠케이전자,KOSDAQ,13270,326000000000.0,2026-09-16T10:48:20+09:00,3805.0,2026-09-16T10:48:31.622302+09:00
181710,NHN,KOSPI,53200,1742500000000.0,2026-09-16T10:48:21+09:00,3765.0,2026-09-16T10:48:31.622302+09:00
000670,영풍,KOSPI,47550,875400000000.0,2026-09-16T10:48:21+09:00,3731.0,2026-09-16T10:48:31.622302+09:00
009420,한올바이오파마,KOSPI,47150,2463100000000.0,2026-09-16T10:48:20+09:00,3715.0,2026-09-16T10:48:31.622302+09:00
064760,티씨케이,KOSDAQ,256500,2867500000000.0,2026-09-16T10:48:20+09:00,3659.0,2026-09-16T10:48:31.622302+09:00
204620,글로벌텍스프리,KOSDAQ,5900,414700000000.0,2026-09-16T10:48:18+09:00,3638.0,2026-09-16T10:48:31.622302+09:00
