scan,day,code,name,score,lag,mode,trend,trigger_close,entry_open,signal_bar
2026-05-22 11:00:00+09:00,2026-05-22,440110,파두,56.9916036623995,0,hold,True,122500.0,123000.0,2026-05-22 10:00:00+09:00
2026-05-22 11:00:00+09:00,2026-05-22,440110,파두,62.29761157495957,60,money,True,122500.0,123000.0,2026-05-22 09:00:00+09:00
2026-03-20 11:00:00+09:00,2026-03-20,092790,넥스틸,75.30136828791544,0,hold,True,12530.0,12550.0,2026-03-20 10:00:00+09:00
2026-03-20 11:00:00+09:00,2026-03-20,092790,넥스틸,69.63324422664373,60,money,True,12530.0,12550.0,2026-03-20 09:00:00+09:00
2026-04-06 11:00:00+09:00,2026-04-06,092790,넥스틸,73.63306451612904,0,money,True,15670.0,15670.0,2026-04-06 10:00:00+09:00
2026-01-02 11:00:00+09:00,2026-01-02,281820,케이씨텍,77.15423034573436,0,money,True,40900.0,40900.0,2026-01-02 10:00:00+09:00
2026-02-23 11:00:00+09:00,2026-02-23,281820,케이씨텍,74.28828410480314,0,money,True,49800.0,49750.0,2026-02-23 10:00:00+09:00
2026-07-02 11:00:00+09:00,2026-07-02,041510,에스엠,71.62656014677535,0,hold,False,78800.0,79900.0,2026-07-02 10:00:00+09:00
2026-07-02 11:00:00+09:00,2026-07-02,041510,에스엠,72.183227451157,60,money,False,78800.0,79900.0,2026-07-02 09:00:00+09:00
2026-08-04 11:00:00+09:00,2026-08-04,041510,에스엠,58.76289018086991,0,hold,True,75100.0,75700.0,2026-08-04 10:00:00+09:00
2026-08-04 11:00:00+09:00,2026-08-04,041510,에스엠,60.58706153798757,60,money,True,75100.0,75700.0,2026-08-04 09:00:00+09:00
2026-01-06 11:00:00+09:00,2026-01-06,214450,파마리서치,65.20873043465113,0,money,True,442500.0,443000.0,2026-01-06 10:00:00+09:00
2026-01-22 11:00:00+09:00,2026-01-22,214450,파마리서치,80.51969634837508,60,money,False,452500.0,451500.0,2026-01-22 09:00:00+09:00
2026-01-23 11:00:00+09:00,2026-01-23,214450,파마리서치,58.594305572958774,60,money,False,475500.0,465500.0,2026-01-23 09:00:00+09:00
2026-04-16 11:00:00+09:00,2026-04-16,214450,파마리서치,73.55165633500445,0,money,False,313500.0,314000.0,2026-04-16 10:00:00+09:00
2026-04-24 11:00:00+09:00,2026-04-24,214450,파마리서치,80.10623068510054,60,money,True,327000.0,323500.0,2026-04-24 09:00:00+09:00
2026-06-26 11:00:00+09:00,2026-06-26,214450,파마리서치,78.13860225140715,60,money,True,332000.0,330500.0,2026-06-26 09:00:00+09:00
2026-01-05 11:00:00+09:00,2026-01-05,218410,RFHIC,65.02476712370166,60,hold,True,35200.0,35300.0,2026-01-05 09:00:00+09:00
2026-01-06 11:00:00+09:00,2026-01-06,218410,RFHIC,76.14944811448844,0,money,True,36800.0,36800.0,2026-01-06 10:00:00+09:00
2026-05-07 11:00:00+09:00,2026-05-07,218410,RFHIC,76.27536231884058,60,money,True,105000.0,104500.0,2026-05-07 09:00:00+09:00
2026-02-27 11:00:00+09:00,2026-02-27,178320,서진시스템,70.69774011299435,0,money,True,41900.0,41900.0,2026-02-27 10:00:00+09:00
2026-02-27 11:00:00+09:00,2026-02-27,178320,서진시스템,71.08024107146976,60,money,True,41350.0,41900.0,2026-02-27 09:00:00+09:00
2026-03-25 11:00:00+09:00,2026-03-25,178320,서진시스템,67.06075710215731,60,money,True,51300.0,50600.0,2026-03-25 09:00:00+09:00
2026-04-30 11:00:00+09:00,2026-04-30,178320,서진시스템,67.56853479149228,0,money,True,60200.0,60100.0,2026-04-30 10:00:00+09:00
2026-05-28 11:00:00+09:00,2026-05-28,178320,서진시스템,73.35493906911066,60,money,True,82300.0,79400.0,2026-05-28 09:00:00+09:00
2026-03-11 11:00:00+09:00,2026-03-11,002380,KCC,77.66336692711305,0,hold,False,559000.0,561000.0,2026-03-11 10:00:00+09:00
2026-03-11 11:00:00+09:00,2026-03-11,002380,KCC,74.56934405918885,60,money,False,559000.0,561000.0,2026-03-11 09:00:00+09:00
2026-01-30 11:00:00+09:00,2026-01-30,007810,코리아써키트,69.1764207654889,60,money,True,74600.0,72100.0,2026-01-30 09:00:00+09:00
2026-02-20 11:00:00+09:00,2026-02-20,007810,코리아써키트,69.8725513127375,60,money,False,62000.0,61800.0,2026-02-20 09:00:00+09:00
2026-03-18 11:00:00+09:00,2026-03-18,007810,코리아써키트,67.66037199991064,0,hold,True,58300.0,58600.0,2026-03-18 10:00:00+09:00
2026-03-18 11:00:00+09:00,2026-03-18,007810,코리아써키트,67.66037199991064,0,money,True,58600.0,58600.0,2026-03-18 10:00:00+09:00
2026-03-18 11:00:00+09:00,2026-03-18,007810,코리아써키트,77.35564648117841,60,money,False,58300.0,58600.0,2026-03-18 09:00:00+09:00
2026-07-27 11:00:00+09:00,2026-07-27,064260,다날,81.00609201673032,0,money,True,4900.0,4900.0,2026-07-27 10:00:00+09:00
2026-01-14 11:00:00+09:00,2026-01-14,044490,태웅,75.62903225806447,0,hold,True,29350.0,29500.0,2026-01-14 10:00:00+09:00
2026-01-14 11:00:00+09:00,2026-01-14,044490,태웅,67.85419071736564,60,money,True,29350.0,29500.0,2026-01-14 09:00:00+09:00
2026-05-04 11:00:00+09:00,2026-05-04,044490,태웅,78.69263573145234,0,money,True,59900.0,59800.0,2026-05-04 10:00:00+09:00
2026-02-09 11:00:00+09:00,2026-02-09,389020,자람테크놀로지,68.17155058412843,0,money,True,44900.0,44950.0,2026-02-09 10:00:00+09:00
2026-02-12 11:00:00+09:00,2026-02-12,389020,자람테크놀로지,78.28324348326305,0,money,True,46400.0,46250.0,2026-02-12 10:00:00+09:00
2026-02-12 11:00:00+09:00,2026-02-12,389020,자람테크놀로지,74.9310380029849,60,money,True,45600.0,46250.0,2026-02-12 09:00:00+09:00
2026-03-10 11:00:00+09:00,2026-03-10,389020,자람테크놀로지,64.9422407807188,0,money,False,48500.0,48350.0,2026-03-10 10:00:00+09:00
2026-03-11 11:00:00+09:00,2026-03-11,389020,자람테크놀로지,84.42393162393167,0,money,False,51800.0,51900.0,2026-03-11 10:00:00+09:00
2026-03-25 11:00:00+09:00,2026-03-25,389020,자람테크놀로지,83.54730465717675,60,money,True,58400.0,57800.0,2026-03-25 09:00:00+09:00
2026-01-22 11:00:00+09:00,2026-01-22,446540,메가터치,79.63313609467454,60,money,True,4140.0,4060.0,2026-01-22 09:00:00+09:00
2026-07-09 11:00:00+09:00,2026-07-09,446540,메가터치,76.2004048582996,60,money,True,6760.0,6400.0,2026-07-09 09:00:00+09:00
2026-08-27 11:00:00+09:00,2026-08-27,020150,롯데에너지머티리얼즈,70.49201741654569,0,money,True,35250.0,35200.0,2026-08-27 10:00:00+09:00
2026-07-01 11:00:00+09:00,2026-07-01,241710,코스메카코리아,67.22891360498014,0,hold,True,76200.0,76700.0,2026-07-01 10:00:00+09:00
