mode,fee_each_side,ending_cash,ending_equity,return_pct,closed_trades,wins,skipped_signals,no_fill,max_drawdown_hourly_pct,open_position,config,part,lag,slippage,signals,target_hits,win_pct,target_pct
fixed,0.00175,783287.4385422515,783287.4385422515,-21.671256145774855,27,9,42,0,-38.36281585312212,False,money_cap5_trendFalse,train,0,0.003,69,7,33.33333333333333,25.925925925925924
fixed,0.00175,1262303.8717500027,1262303.8717500027,26.23038717500028,25,12,79,0,-22.268807222285957,False,money_cap5_trendFalse,train,60,0.0,104,10,48.0,40.0
fixed,0.00175,1257979.3142627534,1257979.3142627534,25.797931426275333,25,12,79,0,-23.108425958930077,False,money_cap5_trendFalse,train,60,0.003,104,10,48.0,40.0
fixed,0.00175,1089556.9112500022,1089556.9112500022,8.955691125000232,20,9,21,0,-20.010485174944705,False,money_cap5_trendTrue,train,0,0.0,41,6,45.0,30.0
fixed,0.00175,897240.7063138764,897240.7063138764,-10.275929368612358,21,8,20,0,-33.10117378795693,False,money_cap5_trendTrue,train,0,0.003,41,5,38.095238095238095,23.809523809523807
fixed,0.00175,1236498.1281875027,1236498.1281875027,23.64981281875027,23,12,53,0,-18.26932988373502,False,money_cap5_trendTrue,train,60,0.0,76,8,52.17391304347826,34.78260869565217
fixed,0.00175,1208319.9978247527,1208319.9978247527,20.831999782475275,23,11,53,0,-18.892594858152336,False,money_cap5_trendTrue,train,60,0.003,76,8,47.82608695652174,34.78260869565217
fixed,0.00175,1265223.0330000015,1265223.0330000015,26.52230330000014,9,5,6,0,-9.820677150312097,False,hold_capNone_trendFalse,validation,0,0.0,15,5,55.55555555555556,55.55555555555556
fixed,0.00175,1264698.0585185005,1264698.0585185005,26.469805851850058,9,5,6,0,-9.851898204547805,False,hold_capNone_trendFalse,validation,0,0.003,15,5,55.55555555555556,55.55555555555556
fixed,0.00175,1092905.4625,1092905.4625,9.290546249999988,1,1,0,0,-0.76878749999999,False,hold_capNone_trendFalse,validation,60,0.0,1,1,100.0,100.0
fixed,0.00175,1093184.1788875004,1093184.1788875004,9.318417888750052,1,1,0,0,-1.058643862499986,False,hold_capNone_trendFalse,validation,60,0.003,1,1,100.0,100.0
fixed,0.00175,1433070.4572500011,1433070.4572500011,43.3070457250001,4,4,1,0,-1.367447945807232,False,hold_cap3_trendTrue,validation,0,0.0,5,4,100.0,100.0
fixed,0.00175,1308183.122014,1308183.122014,30.818312201400012,3,3,1,0,-1.3712322996635162,False,hold_cap3_trendTrue,validation,0,0.003,4,3,100.0,100.0
fixed,0.00175,1000000.0,1000000.0,0.0,0,0,0,0,0.0,False,hold_cap3_trendTrue,validation,60,0.0,0,0,,
fixed,0.00175,1000000.0,1000000.0,0.0,0,0,0,0,0.0,False,hold_cap3_trendTrue,validation,60,0.003,0,0,,
fixed,0.00175,1526447.2087500012,1526447.2087500012,52.64472087500012,17,10,8,0,-19.977520279532644,False,hold_capNone_trendFalse,check,0,0.0,25,9,58.82352941176471,52.94117647058824
fixed,0.00175,1341719.054497502,1341719.054497502,34.1719054497502,18,9,7,0,-24.21108466588173,False,hold_capNone_trendFalse,check,0,0.003,25,9,50.0,50.0
fixed,0.00175,1055547.56,1055547.56,5.554756000000016,4,2,3,0,-10.047610388776274,False,hold_capNone_trendFalse,check,60,0.0,7,1,50.0,25.0
fixed,0.00175,1052641.5891800001,1052641.5891800001,5.264158918000006,4,2,3,0,-10.336325675495184,False,hold_capNone_trendFalse,check,60,0.003,7,1,50.0,25.0
fixed,0.00175,1547777.5580000044,1547777.5580000044,54.777755800000435,44,21,35,0,-33.31474422286475,False,hold_capNone_trendFalse,all,0,0.0,79,18,47.72727272727273,40.909090909090914
fixed,0.00175,1205897.7600070026,1205897.7600070026,20.589776000700265,45,19,34,0,-38.701179431100755,False,hold_capNone_trendFalse,all,0,0.003,79,17,42.22222222222222,37.77777777777778
fixed,0.00175,1222355.6582500017,1222355.6582500017,22.23556582500017,13,7,5,0,-12.011425019076372,False,hold_capNone_trendFalse,all,60,0.0,18,5,53.84615384615385,38.46153846153847
fixed,0.00175,1213782.6136776265,1213782.6136776265,21.37826136776264,13,7,5,0,-12.302765985688879,False,hold_capNone_trendFalse,all,60,0.003,18,5,53.84615384615385,38.46153846153847
fixed,0.00175,1273903.8640000005,1273903.8640000005,27.390386400000043,10,6,3,0,-14.616616322777798,False,hold_cap3_trendTrue,check,0,0.0,13,5,60.0,50.0
fixed,0.00175,1184917.8700772505,1184917.8700772505,18.491787007725048,10,5,2,0,-21.276199183108414,False,hold_cap3_trendTrue,check,0,0.003,12,5,50.0,50.0
fixed,0.00175,1135284.3,1135284.3,13.528430000000014,2,2,0,0,-7.8579931623731,False,hold_cap3_trendTrue,check,60,0.0,2,0,100.0,0.0
fixed,0.00175,1068526.1312500003,1068526.1312500003,6.852613125000029,1,1,0,0,-7.879656198368956,False,hold_cap3_trendTrue,check,60,0.003,1,0,100.0,0.0
fixed,0.00175,1830462.8342500029,1830462.8342500029,83.04628342500028,28,16,16,0,-29.53057390710554,False,hold_cap3_trendTrue,all,0,0.0,44,13,57.14285714285714,46.42857142857143
fixed,0.00175,1428506.3636918769,1428506.3636918769,42.85063636918769,26,13,15,0,-26.73536361403659,False,hold_cap3_trendTrue,all,0,0.003,41,11,50.0,42.30769230769231
fixed,0.00175,1219489.2237500006,1219489.2237500006,21.94892237500006,6,4,1,0,-7.902076636363875,False,hold_cap3_trendTrue,all,60,0.0,7,2,66.66666666666666,33.33333333333333
fixed,0.00175,1147807.5312212508,1147807.5312212508,14.780753122125079,5,3,1,0,-7.922451723101453,False,hold_cap3_trendTrue,all,60,0.003,6,2,60.0,40.0
