scan,hour,rank,code,name,pattern,score,signal_bar,lag_minutes,volume_ratio,above60,status,hit_1d,hit_3d,hit_5d,return_1d,return_3d,return_5d,hit,entry_price,target_price,hit_bar,sessions_to_hit,return_pct
2026-08-04 14:00:00+09:00,14,1,257720,실리콘투,rebound,69.5357422913174,2026-08-04 12:00:00+09:00,60,2.1245235429600853,True,TARGET,False,True,True,0.26954177897573484,5.0,5.0,True,37100.0,38955.0,2026-08-06 13:00:00+09:00,3.0,5.0
2026-08-04 14:00:00+09:00,14,2,187660,페니트리움바이오,rebound,63.81970355478003,2026-08-04 12:00:00+09:00,60,1.747924874046943,True,TARGET,False,False,False,-4.6457607433217145,-6.968641114982576,-2.4390243902439046,True,4305.0,4520.25,2026-08-13 10:00:00+09:00,8.0,5.0
2026-08-04 14:00:00+09:00,14,3,217590,티엠씨,rebound,54.883373037219165,2026-08-04 12:00:00+09:00,60,4.210903413702131,True,TARGET,False,True,True,0.9803921568627416,5.0,5.0,True,12240.0,12852.0,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 14:00:00+09:00,14,4,108490,로보티즈,base_breakout,53.61976579416381,2026-08-04 12:00:00+09:00,60,1.2462509921913116,True,TARGET,False,True,True,0.4282655246252709,5.0,5.0,True,233500.0,245175.0,2026-08-06 09:00:00+09:00,3.0,5.0
2026-08-04 14:00:00+09:00,14,5,327260,RF머트리얼즈,base_breakout,53.285551332477475,2026-08-04 12:00:00+09:00,60,2.3443428360033747,True,TARGET,False,True,True,0.0,5.0,5.0,True,29950.0,31447.5,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-05 09:00:00+09:00,9,1,477850,마키나락스,rebound,79.84059222400909,2026-08-04 14:00:00+09:00,60,1.8018350365784521,True,TARGET,True,True,True,5.0,5.0,5.0,True,24800.0,26040.0,2026-08-05 09:00:00+09:00,1.0,5.0
2026-08-05 09:00:00+09:00,9,2,071200,인피니트헬스케어,base_breakout,76.72831050228311,2026-08-04 14:00:00+09:00,60,3.7447414186753725,True,TARGET,False,True,True,-1.1591148577449917,5.0,5.0,True,9490.0,9964.5,2026-08-07 09:00:00+09:00,3.0,5.0
2026-08-05 09:00:00+09:00,9,3,040300,YTN,base_breakout,67.97408424276617,2026-08-04 14:00:00+09:00,60,1.5580801692615507,True,TARGET,False,False,False,-0.24390243902439046,-0.7317073170731714,0.24390243902439046,True,2050.0,2152.5,2026-09-14 13:00:00+09:00,28.0,5.0
2026-08-05 09:00:00+09:00,9,4,161890,한국콜마,rebound,67.81572026302858,2026-08-04 14:00:00+09:00,60,2.237693070737043,True,TARGET,False,True,True,1.4895729890764597,5.0,5.0,True,100700.0,105735.0,2026-08-06 09:00:00+09:00,2.0,5.0
2026-08-05 09:00:00+09:00,9,5,263860,지니언스,base_breakout,58.245713516648586,2026-08-04 14:00:00+09:00,60,2.283509565335583,True,TARGET,False,False,False,-4.358974358974354,-4.038461538461535,1.2820512820512775,True,15600.0,16380.0,2026-08-28 09:00:00+09:00,17.0,5.0
