종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
엘앤에프,066970,KOSPI,제외,53.98552790871564,-0.55,113800.0,111600.0,122.1,0.82,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,34.099923,0.3631384639546935,115200.0,111100.0,2026-09-18T10:00:00+09:00
아주IB투자,027360,KOSDAQ,제외,55.00142859024273,2.44,4130.0,3890.0,144.6,10.66,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,21.4280309,3.717065864705832,4040.0,3895.0,2026-09-18T10:00:00+09:00
한국화장품제조,003350,KOSPI,제외,64.5304300925864,0.91,15250.0,14570.0,28.5,0.68,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,52.3253536,2.7711842583180677,15050.0,15340.0,2026-09-18T10:00:00+09:00
HD현대에너지솔루션,322000,KOSPI,제외,80.50544168034358,1.43,123600.0,130000.0,126.5,1.76,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,48.628859,1.155540300597706,130500.0,127900.0,2026-09-18T10:00:00+09:00
에스피소프트,443670,KOSDAQ,제외,64.38848536332014,1.85,5730.0,6050.0,130.7,15.78,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,23.7423,2.645166959194924,6390.0,5800.0,2026-09-18T10:00:00+09:00
달바글로벌,483650,KOSPI,제외,68.66485157395026,3.79,175700.0,177800.0,61.4,1.24,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,True,79.7486,2.193916579307364,177800.0,181000.0,2026-09-18T10:00:00+09:00
계양전기,012200,KOSPI,제외,64.79310344827586,5.68,3675.0,4210.0,27.5,16.65,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,121.189787,174.81479916115003,4300.0,4450.0,2026-09-18T10:00:00+09:00
하이젠알앤엠,160190,KOSDAQ,제외,70.37376338566683,3.16,25100.0,23900.0,18.4,2.44,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,127.098647,42.502649170503986,25100.0,26650.0,2026-09-18T10:00:00+09:00
삼현,437730,KOSDAQ,제외,65.15020885588791,1.28,49250.0,49850.0,105.1,6.98,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,21.909906,2.9759239453260253,50400.0,49300.0,2026-09-18T10:00:00+09:00
서진시스템,178320,KOSDAQ,제외,73.45129905960496,-1.29,36500.0,34850.0,78.8,1.18,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,37.320408,1.0150245655289514,36100.0,34200.0,2026-09-18T10:00:00+09:00
코미코,183300,KOSDAQ,제외,73.27324913892078,4.5,29400.0,30000.0,34.0,1.56,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,81.0937295,7.684378594261652,30350.0,31150.0,2026-09-18T10:00:00+09:00
비에이치아이,083650,KOSDAQ,제외,69.30297402256426,-0.66,66900.0,63500.0,83.5,1.44,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,36.901992,1.109895365074507,66100.0,63600.0,2026-09-18T10:00:00+09:00
파마리서치,214450,KOSDAQ,제외,60.328249186973345,-0.9,356000.0,328500.0,74.2,0.86,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,39.37401,0.7583966734874324,335000.0,328500.0,2026-09-18T10:00:00+09:00
LS마린솔루션,060370,KOSDAQ,제외,78.41369501448312,2.21,32300.0,34400.0,99.8,17.31,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,24.6942115,6.868420693978794,36200.0,33950.0,2026-09-18T10:00:00+09:00
비에이치,090460,KOSPI,제외,75.54242774130417,1.05,20100.0,20500.0,92.9,1.61,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,26.9040785,1.0273998499627885,20750.0,20150.0,2026-09-18T10:00:00+09:00
지어소프트,051160,KOSDAQ,제외,66.44675249738548,3.41,12890.0,12490.0,110.8,131.1,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,10.4534394,11.89744408618427,12900.0,12410.0,2026-09-18T10:00:00+09:00
디케이티,290550,KOSDAQ,제외,61.84195565662308,6.25,19230.0,20900.0,66.3,4.94,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,52.0925995,6.547658016836357,20975.0,21550.0,2026-09-18T10:00:00+09:00
한국콜마,161890,KOSPI,제외,62.35190240175241,0.39,155800.0,145700.0,55.7,0.49,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,45.709326,0.6861837249111784,152000.0,148200.0,2026-09-18T10:00:00+09:00
흥구석유,024060,KOSDAQ,제외,33.12810634604796,-3.12,13970.0,13000.0,86.2,1.38,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,22.7642895,1.4018970146134728,13920.0,13050.0,2026-09-18T10:00:00+09:00
미래에셋벤처투자,100790,KOSDAQ,제외,65.52608808680078,2.44,17840.0,17730.0,96.5,4.33,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,14.67488,1.596808211624269,18300.0,17600.0,2026-09-18T10:00:00+09:00
오이솔루션,138080,KOSDAQ,제외,55.517911821594986,2.1,28800.0,27450.0,72.6,5.14,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,28.73438,3.410901713313253,28500.0,27400.0,2026-09-18T10:00:00+09:00
OCI홀딩스,010060,KOSPI,제외,69.10892829187028,1.11,204500.0,210500.0,65.9,0.51,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,25.3067,0.391217891331129,210500.0,207500.0,2026-09-18T10:00:00+09:00
뉴파워프라즈마,144960,KOSDAQ,제외,56.86544003546885,4.68,9620.0,10230.0,74.0,4.09,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,24.0390864,2.2775484310088823,10370.0,10290.0,2026-09-18T10:00:00+09:00
실리콘투,257720,KOSDAQ,제외,37.77090985229985,-2.25,43650.0,41700.0,59.4,0.53,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,29.28508,0.43034987113822937,42700.0,41800.0,2026-09-18T10:00:00+09:00
현대제철,004020,KOSPI,제외,62.58226731233698,1.61,35400.0,35150.0,61.3,1.47,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,31.44014,1.1638478340884553,35850.0,35600.0,2026-09-18T10:00:00+09:00
두산퓨얼셀,336260,KOSPI,제외,55.84183604815858,-0.31,53000.0,50000.0,49.8,0.51,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,41.1047385,0.8021044971331875,51200.0,49650.0,2026-09-18T10:00:00+09:00
제이앤티씨,204270,KOSDAQ,제외,81.24942481115269,1.09,23100.0,22750.0,72.7,2.3,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,21.251424,1.3072387215194645,23250.0,22800.0,2026-09-18T10:00:00+09:00
디앤디파마텍,347850,KOSDAQ,제외,67.5673373384113,-0.15,47650.0,45550.0,58.6,0.95,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,24.645896,0.5937779298273722,46700.0,45800.0,2026-09-18T10:00:00+09:00
기가비스,420770,KOSDAQ,일치,61.984099309122506,3.03,107000.0,108900.0,53.9,2.78,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,35.774983,2.238833277870945,109700.0,109300.0,2026-09-18T10:00:00+09:00
신세계,004170,KOSPI,제외,53.67642211371442,-0.14,365000.0,362500.0,49.2,1.01,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,33.271465,0.8730105658621324,364500.0,365500.0,2026-09-18T10:00:00+09:00
JW신약,067290,KOSDAQ,제외,56.40328209442491,-0.88,3790.0,3430.0,70.3,0.28,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,17.76210995,0.22264651637873112,3625.0,3445.0,2026-09-18T10:00:00+09:00
덕산하이메탈,077360,KOSDAQ,제외,61.55869423967822,3.37,11450.0,11830.0,72.4,3.59,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,14.565672,1.7597661002410279,12240.0,11660.0,2026-09-18T10:00:00+09:00
